reset
z:-2.26594728699, rot:0.0324908961989
z:-1.66547654548, rot:0.00811937432848
z:-1.30863400205, rot:-0.0146349296678
z:-1.09677793332, rot:0.00196317646304
z:-0.902353011844, rot:0.00927377565007
z:-0.765892367689, rot:0.0240735566465
z:-0.574076214215, rot:0.0271831923611
z:-0.32913746453, rot:0.019526435342
z:-0.271246503261, rot:0.0513990346388
z:-0.311451837692, rot:0.0456567628572
z:-0.302572262584, rot:0.0596117757264
z:-0.269948113848, rot:0.0806045007332
z:-0.190584745242, rot:0.092177247353
z:-0.147129677467, rot:0.0762106838731
z:-0.131616527412, rot:0.0650437577056
z:-0.0735495915339, rot:0.0424139390685
z:-0.0638503626171, rot:0.0475998039477
z:-0.0594178375101, rot:0.0357759324155
z:0.0181877178218, rot:0.0461255798588
z:0.123111385577, rot:0.0419605472758
z:0.190267202319, rot:0.0569989503602
z:0.269665752486, rot:0.0677856523171
z:0.355017089375, rot:0.0965211608286
z:0.421687563479, rot:0.0786037714578
z:0.477356832656, rot:0.0652116556431
z:0.465898925167, rot:0.0764271655321
z:0.436259591963, rot:0.0905187571875
z:0.486719673119, rot:0.12645034536
z:0.474748421788, rot:0.145078777815
z:0.473901640261, rot:0.190803469305
z:0.549558212408, rot:0.201658559776
z:0.619477629039, rot:0.244736034627
z:0.611570547298, rot:0.228140440651
z:0.597612047579, rot:0.230954475882
z:0.587642688969, rot:0.258342486607
z:0.616595787424, rot:0.238817096361
z:0.647973748769, rot:0.283073763368
z:0.678860460264, rot:0.306146395319
z:0.69992223855, rot:0.342770384729
z:0.697318345653, rot:0.347128267288
z:0.714238613073, rot:0.339104496113
z:0.737153154949, rot:0.398961488616
z:0.788456658445, rot:0.399869438019
z:0.995136441889, rot:0.404454981599
z:1.14059423765, rot:0.407773254471
z:1.06368365054, rot:0.398597239452
z:0.85144398854, rot:0.424700540772
z:0.865178988288, rot:0.430245994771
z:0.881697374194, rot:0.423181225091
z:0.797725792532, rot:0.468160629503
z:0.893987881632, rot:0.462268941584
z:1.1084058329, rot:0.463827691893
z:1.41785633455, rot:0.451701596198
z:1.59929124711, rot:0.473218258041
z:1.63759757317, rot:0.521314086999
z:1.64693308621, rot:0.536994599679
z:1.66258496371, rot:0.567289700752
z:1.90179643675, rot:0.558386704947
z:2.26650723024, rot:0.57904624261
z:2.32099475114, rot:0.652959708844
z:2.27569081162, rot:0.66826682121
z:2.30913597119, rot:0.689295725876
z:2.31979557925, rot:0.730100222924
z:2.29543193413, rot:0.785697015832
z:2.07730107099, rot:0.803061446105
z:2.10832752049, rot:0.820049293356
z:2.13024514181, rot:0.819390378162
z:1.79889817409, rot:0.815552700103
z:2.00633973425, rot:0.813959077214
z:2.50326099157, rot:0.827379610212
z:2.79784489516, rot:0.837967360408
z:3.12131896605, rot:0.845586506017
z:3.11710308622, rot:0.855067143779
z:2.89431934899, rot:0.84687179384
z:2.87185344973, rot:0.848807096262
z:3.19499578486, rot:0.859310423196
z:3.49029338007, rot:0.861993661999
z:3.54515837678, rot:0.863745673676
z:3.59185741474, rot:0.919622096314
z:3.31633354466, rot:0.936872728839
z:3.3563807655, rot:0.945327814356
z:4.02193137763, rot:0.954343966567
z:4.66850845771, rot:0.950233779827
z:4.93551904787, rot:0.957449240019
z:4.97254164746, rot:0.988177568316
z:5.05521534062, rot:0.999437849298
z:5.08719679885, rot:0.992747316045
z:5.07837508353, rot:0.990807608072
z:4.75042165685, rot:0.992707434874
z:4.08973946069, rot:0.993778571585
z:3.82140534529, rot:0.996159481024
z:3.85975912501, rot:0.969975125086
z:3.84429692792, rot:0.963079204646
z:3.83855950672, rot:0.968825231439
z:3.83867169987, rot:0.92451186064
z:4.14830561789, rot:0.905158240054
z:4.45470597233, rot:0.909327107542
z:4.21149455157, rot:0.908326745316
z:3.5541062391, rot:0.908419139943
z:3.52021734097, rot:0.913410809146
z:3.47711491481, rot:0.911153492352
z:3.24512361737, rot:0.857404444392
z:3.23099926276, rot:0.797715418148
z:3.22512140301, rot:0.787002340099
z:2.85988596103, rot:0.764247877433
z:2.17836149294, rot:0.773225344421
z:1.88380528196, rot:0.780883770844
z:1.59528468037, rot:0.787012560898
z:1.57457245756, rot:0.800566705363
z:1.55962523231, rot:0.795386832287
z:1.37826246175, rot:0.753848745556
z:1.6270000434, rot:0.750792634504
z:1.85716346742, rot:0.735683717671
z:1.86840609736, rot:0.714751713092
z:1.67442415041, rot:0.725402269811
z:1.50220851209, rot:0.739408503219
z:1.68235031845, rot:0.752475497097
z:1.71130972935, rot:0.735885716065
z:1.6861202958, rot:0.731730022038
z:1.97652869691, rot:0.721132760572
z:1.99332656452, rot:0.660076627358
